sigma_fair,sigma_offset,option_type,num_zeros,boundary_type,lower_boundary,upper_boundary,early_exercise_premium,american_value,european_value
0.29000000000000004,0.02,call,0,always_exercise,,,0.0,0.7588509846056652,0.7588509846056652
0.29000000000000004,0.02,put,0,always_exercise,,,0.0,0.7588509846056581,0.7588509846056581
0.29000000000000004,0.03,call,0,always_exercise,,,0.0,1.138334733183875,1.138334733183875
0.29000000000000004,0.03,put,0,always_exercise,,,0.0,1.138334733183875,1.138334733183875
0.29000000000000004,0.04,call,0,always_exercise,,,0.0,1.5178047012595144,1.5178047012595144
0.29000000000000004,0.04,put,0,always_exercise,,,0.0,1.5178047012595144,1.5178047012595144
0.29000000000000004,0.05,call,0,always_exercise,,,0.0,1.8972258355238907,1.8972258355238907
0.29000000000000004,0.05,put,0,always_exercise,,,0.0,1.8972258355238907,1.8972258355238907
0.29000000000000004,0.06,call,0,always_exercise,,,0.0,2.2765660174389026,2.2765660174389026
0.29000000000000004,0.06,put,0,always_exercise,,,0.0,2.2765660174388955,2.2765660174388955
0.29000000000000004,0.07,call,0,always_exercise,,,0.0,2.655795663813322,2.655795663813322
0.29000000000000004,0.07,put,0,always_exercise,,,0.0,2.655795663813315,2.655795663813315
0.29000000000000004,0.08,call,0,always_exercise,,,0.0,3.0348873914928305,3.0348873914928305
0.29000000000000004,0.08,put,0,always_exercise,,,0.0,3.0348873914928305,3.0348873914928305
0.29000000000000004,0.09,call,0,always_exercise,,,0.0,3.4138157345065494,3.4138157345065494
0.29000000000000004,0.09,put,0,always_exercise,,,0.0,3.4138157345065423,3.4138157345065423
0.29000000000000004,0.1,call,0,always_exercise,,,0.0,3.7925569043700023,3.7925569043700023
0.29000000000000004,0.1,put,0,always_exercise,,,0.0,3.7925569043700023,3.7925569043700023
0.30000000000000004,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.30000000000000004,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.30000000000000004,0.01,call,0,always_exercise,,,0.0,0.3794590627568297,0.3794590627568297
0.30000000000000004,0.01,put,0,always_exercise,,,0.0,0.3794590627568226,0.3794590627568226
0.30000000000000004,0.02,call,0,always_exercise,,,0.0,0.7589428113350394,0.7589428113350394
0.30000000000000004,0.02,put,0,always_exercise,,,0.0,0.7589428113350394,0.7589428113350394
0.30000000000000004,0.03,call,0,always_exercise,,,0.0,1.1384127794106789,1.1384127794106789
0.30000000000000004,0.03,put,0,always_exercise,,,0.0,1.1384127794106789,1.1384127794106789
0.30000000000000004,0.04,call,0,always_exercise,,,0.0,1.5178339136750552,1.5178339136750552
0.30000000000000004,0.04,put,0,always_exercise,,,0.0,1.5178339136750552,1.5178339136750552
0.30000000000000004,0.05,call,0,always_exercise,,,0.0,1.8971740955900671,1.8971740955900671
0.30000000000000004,0.05,put,0,always_exercise,,,0.0,1.89717409559006,1.89717409559006
0.30000000000000004,0.06,call,0,always_exercise,,,0.0,2.2764037419644865,2.2764037419644865
0.30000000000000004,0.06,put,0,always_exercise,,,0.0,2.2764037419644794,2.2764037419644794
0.30000000000000004,0.07,call,0,always_exercise,,,0.0,2.655495469643995,2.655495469643995
0.30000000000000004,0.07,put,0,always_exercise,,,0.0,2.655495469643995,2.655495469643995
0.30000000000000004,0.08,call,0,always_exercise,,,0.0,3.034423812657714,3.034423812657714
0.30000000000000004,0.08,put,0,always_exercise,,,0.0,3.034423812657714,3.034423812657714
0.30000000000000004,0.09,call,0,always_exercise,,,0.0,3.4131649825211667,3.4131649825211667
0.30000000000000004,0.09,put,0,always_exercise,,,0.0,3.4131649825211667,3.4131649825211667
0.30000000000000004,0.1,call,0,always_exercise,,,0.0,3.791696664230855,3.791696664230855
0.30000000000000004,0.1,put,0,always_exercise,,,0.0,3.791696664230855,3.791696664230855
0.31,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.31,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.31,0.01,call,0,always_exercise,,,0.0,0.37948374857820255,0.37948374857820255
0.31,0.01,put,0,always_exercise,,,0.0,0.37948374857821676,0.37948374857821676
0.31,0.02,call,0,always_exercise,,,0.0,0.7589537166538491,0.7589537166538491
0.31,0.02,put,0,always_exercise,,,0.0,0.7589537166538562,0.7589537166538562
0.31,0.03,call,0,always_exercise,,,0.0,1.1383748509182254,1.1383748509182254
0.31,0.03,put,0,always_exercise,,,0.0,1.1383748509182325,1.1383748509182325
0.31,0.04,call,0,always_exercise,,,0.0,1.5177150328332232,1.5177150328332232
0.31,0.04,put,0,always_exercise,,,0.0,1.5177150328332374,1.5177150328332374
0.31,0.05,call,0,always_exercise,,,0.0,1.8969446792076496,1.8969446792076496
0.31,0.05,put,0,always_exercise,,,0.0,1.8969446792076567,1.8969446792076567
0.31,0.06,call,0,always_exercise,,,0.0,2.2760364068871652,2.2760364068871652
0.31,0.06,put,0,always_exercise,,,0.0,2.2760364068871723,2.2760364068871723
0.31,0.07,call,0,always_exercise,,,0.0,2.654964749900884,2.654964749900884
0.31,0.07,put,0,always_exercise,,,0.0,2.654964749900884,2.654964749900884
0.31,0.08,call,0,always_exercise,,,0.0,3.033705919764337,3.033705919764337
0.31,0.08,put,0,always_exercise,,,0.0,3.033705919764344,3.033705919764344
0.31,0.09,call,0,always_exercise,,,0.0,3.4122376014740254,3.4122376014740254
0.31,0.09,put,0,always_exercise,,,0.0,3.4122376014740325,3.4122376014740325
0.31,0.1,call,0,always_exercise,,,0.0,3.7905387791666243,3.7905387791666243
0.31,0.1,put,0,always_exercise,,,0.0,3.7905387791666243,3.7905387791666243
0.32,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.32,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.32,0.01,call,0,always_exercise,,,0.0,0.3794699680756466,0.3794699680756466
0.32,0.01,put,0,always_exercise,,,0.0,0.3794699680756395,0.3794699680756395
0.32,0.02,call,0,always_exercise,,,0.0,0.7588911023400229,0.7588911023400229
0.32,0.02,put,0,always_exercise,,,0.0,0.7588911023400158,0.7588911023400158
0.32,0.03,call,0,always_exercise,,,0.0,1.1382312842550206,1.1382312842550206
0.32,0.03,put,0,always_exercise,,,0.0,1.1382312842550206,1.1382312842550206
0.32,0.04,call,0,always_exercise,,,0.0,1.517460930629447,1.517460930629447
0.32,0.04,put,0,always_exercise,,,0.0,1.51746093062944,1.51746093062944
0.32,0.05,call,0,always_exercise,,,0.0,1.8965526583089627,1.8965526583089627
0.32,0.05,put,0,always_exercise,,,0.0,1.8965526583089556,1.8965526583089556
0.32,0.06,call,0,always_exercise,,,0.0,2.2754810013226816,2.2754810013226816
0.32,0.06,put,0,always_exercise,,,0.0,2.2754810013226674,2.2754810013226674
0.32,0.07,call,0,always_exercise,,,0.0,2.6542221711861345,2.6542221711861345
0.32,0.07,put,0,always_exercise,,,0.0,2.6542221711861274,2.6542221711861274
0.32,0.08,call,0,always_exercise,,,0.0,3.032753852895823,3.032753852895823
